Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade	Lineage	Inferred Origins	Inferred Origin Confidences	Growth Score	Click to View
Nevada County_node_204400	Nevada County	82	2021-01-16	2021-03-08	21C(Epsilon)	B.1.429	Colorado	0.25584	0.215604	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_204400","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_143736	Nevada County	33	2021-04-26	2021-05-15	20I(Alpha,V1)	B.1.1.7	Nevada	0.208	0.205163	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_143736","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_5276	Nevada County	22	2021-05-18	2021-06-10	21A(Delta)	AY.13	Sonoma County	0.175097	0.187617	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_5276","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_197147	Nevada County	32	2021-03-11	2021-04-16	21C(Epsilon)	B.1.427	Placer County	0.189189	0.161624	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_197147","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_40974	Nevada County	9	2021-06-11	2021-06-11	21A(Delta)	AY.3	Placer County	0.135593	0.136364	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_40974","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_208641	Nevada County	28	2021-02-06	2021-03-24	21C(Epsilon)	B.1.429	Glenn County	0.130435	0.13568	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_208641","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_81768	Nevada County	12	2021-05-05	2021-05-26	20J(Gamma,V3)	P.1.10	Florida	0.348935	0.1283	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_81768","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_143798	Nevada County	10	2021-05-17	2021-05-26	20I(Alpha,V1)	B.1.1.7	Butte County	0.148936	0.126491	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_143798","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_144674	Nevada County	5	2021-05-28	2021-06-04	20I(Alpha,V1)	B.1.1.7	Illinois	0.666667	0.0931695	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_144674","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_84205	Nevada County	7	2021-04-13	2021-04-19	20J(Gamma,V3)	P.1	Florida	0.373832	0.0881917	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_84205","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
