sample	FIPS
USA/VA-DCLS-15051/2023|OQ844092.1|2023-02-22	51790
USA/VA-CAV_VAS3N_00017071_01/2022|OQ151198.1|2022-12-03	51047
USA/VA-CAV_VAS3N_00018245_01/2023|OQ612940.1|2023-02-09	51099
USA/VA-VTVAS3-GSC42670/2023|OQ890905.1|2023-03-08	51073
USA/VA-CDC-LC0728136/2022|ON917379.1|2022-06-21	51530
USA/VA-VTVAS3-GSC42913/2023|OR083136.1|2023-05-22	51177
USA/VA-CDC-QDX45342206/2023|OQ301382.1|2023-01-07	51640
USA/VA-VTVAS3-GSC42519/2023|OQ714677.1|2023-03-03	51031
USA/VA-CAV_VAS3N_00018513_01/2023|OQ843577.1|2023-03-21	51620
USA/VA-CAV_VAS3N_00013512_01/2022|OP472134.1|2022-07-19	51710
USA/VA-VTVAS3-GSC39911/2022|OP851478.1|2022-10-12	51067
USA/VA-CDC-QDX80138298/2023|OR061606.1|2023-05-04	51163
USA/VA-CDC-QDX80138321/2023|OR061634.1|2023-05-04	51089
USA/VA-VTVAS3-GSC42844/2023|OR068009.1|2023-04-05	51185
USA/VA-CAV_VAS3N_00018635_01/2023|OQ953860.1|2023-04-11	51193
USA/VA-VTVAS3-GSC41420/2023|OQ351083.1|2023-01-04	51115
USA/VA-VTVAS3-GSC42896/2023|OR083119.1|2023-05-17	51141
USA/VA-CDC-LC1043084/2023|OR105262.1|2023-05-18	51015
USA/VA-VTVAS3-GSC42880/2023|OR083103.1|2023-05-17	51025
USA/VA-VTVAS3-GSC42904/2023|OR083127.1|2023-05-11	51685
USA/VA-CDC-LC1042338/2023|OR038071.1|2023-05-13	51181
USA/VA-VTVAS3-GSC42887/2023|OR083110.1|2023-05-13	51161
USA/VA-CAV_VAS3N_00018128_01/2023|OQ613034.1|2023-01-26	51009
USA/VA-VTVAS3-GSC42676/2023|OQ890911.1|2023-03-05	51169
USA/VA-CDC-LC0915713/2022|OP715563.1|2022-10-16	51065
USA/VA-VTVAS3-GSC42726/2023|OQ890960.1|2023-03-25	51085
USA/VA-CDC-LC1034811/2023|OQ802694.1|2023-04-03	51121
USA/VA-CAV_VAS3N_00016009_01/2022|OP752896.1|2022-09-02	51157
USA/VA-CAV_VAS3N_00016834_01/2022|OQ151049.1|2022-11-21	51167
USA/VA-VTVAS3-GSC42178/2023|OQ544894.1|2023-02-03	51105
USA/VA-VTVAS3-GSC42857/2023|OR068022.1|2023-05-06	51678
USA/VA-VTVAS3-GSC42908/2023|OR083131.1|2023-05-03	51610
USA/VA-DCLS-15129/2023|OQ869126.1|2023-04-11	51775
USA/VA-DCLS-15121/2023|OQ869120.1|2023-04-08	51580
USA/VA-VTVAS3-GSC40885/2022|OQ331502.1|2022-12-04	51600
USA/VA-VTVAS3-GSC42807/2023|OR067973.1|2023-04-22	51113
USA/VA-CDC-QDX46135631/2023|OQ425681.1|2023-01-25	51075
USA/VA-CDC-QDX46179158/2023|OQ431543.1|2023-01-29	51810
USA/VA-CAV_VAS3N_00017956_01/2023|OQ384608.1|2023-01-18	51053
USA/VA-VTVAS3-GSC42662/2023|OQ890897.1|2023-03-28	51173
USA/VA-CAV_VAS3N_00018267_01/2023|OQ612784.1|2023-02-13	51820
USA/VA-CAV_VAS3N_00018605_01/2023|OQ843811.1|2023-04-04	51770
USA/VA-VTVAS3-GSC42873/2023|OR083096.1|2023-04-10	51051
USA/VA-CAV_VAS3N_00018630_01/2023|OQ953852.1|2023-04-13	51127
USA/VA-DCLS-15138/2023|OQ939526.1|2023-04-11	51029
USA/VA-VTVAS3-GSC42822/2023|OR067987.1|2023-05-01	51720
USA/VA-DCLS-14991/2023|OQ511631.1|2023-02-01	51183
USA/VA-DCLS-10445/2021|OL752971.1|2021-10-12	51081
USA/VA-VTVAS3-GSC42819/2023|OR067984.1|2023-04-29	51630
USA/VA-VTVAS3-GSC42824/2023|OR067989.1|2023-04-28	51049
USA/VA-CDC-QDX80017429/2023|OR018620.1|2023-05-02	51191
USA/VA-CDC-LC1041423/2023|OQ991555.1|2023-05-02	51840
USA/VA-CDC-LC0958419/2022|OQ110285.1|2022-12-12	51101
USA/VA-CDC-QDX48464008/2023|OQ825436.1|2023-03-28	51143
USA/VA-CAV_VAS3N_00017766_01/2023|OQ384296.1|2023-01-09	51077
USA/VA-VTVAS3-GSC42468/2023|OQ714626.1|2023-02-10	51135
USA/VA-CDC-LC0922728/2022|OP791223.1|2022-10-25	51083
USA/VA-VTVAS3-GSC41850/2023|OQ442697.1|2023-01-29	51071
USA/VA-CAV_VAS3N_00017679_01/2023|OQ384371.1|2023-01-03	51147
USA/VA-VTVAS3-GSC42862/2023|OR068027.1|2023-05-10	51087
USA/VA-VTVAS3-GSC42791/2023|OR067957.1|2023-04-16	51690
USA/VA-VTVAS3-GSC42704/2023|OQ890938.1|2023-03-25	51510
USA/VA-VTVAS3-GSC41650/2023|OQ442486.1|2023-01-14	51017
USA/VA-DCLS-14767/2022|OQ176577.1|2022-12-08	51043
USA/VA-CAV_VAS3N_00018097_01/2023|OQ613053.1|2023-01-30	51750
USA/VA-CDC-QDX45592756/2023|OQ357012.1|2023-01-14	51133
USA/VA-CDC-QDX48464003/2023|OQ784032.1|2023-03-28	51540
USA/VA-VTVAS3-GSC42315/2023|OQ544713.1|2023-02-06	51197
USA/VA-VTVAS3-GSC42837/2023|OR068002.1|2023-04-02	51660
USA/VA-CAV_VAS3N_00018506_01/2023|OQ843571.1|2023-03-23	51011
USA/VA-CAV_VAS3N_00017699_01/2023|OQ384102.1|2023-01-01	51520
USA/VA-CDC-LC1027966/2023|OQ661389.1|2023-03-09	51027
USA/VA-CAV_VAS3N_00018121_01/2023|OQ613027.1|2023-01-25	51119
USA/VA-CDC-LC1030382/2023|OQ712502.1|2023-03-19	51036
USA/VA-VTVAS3-GSC42681/2023|OQ890916.1|2023-03-04	51103
USA/VA-CAV_VAS3N_00018453_01/2023|OQ843696.1|2023-02-24	51117
USA/VA-VTVAS3-GSC42811/2023|OR067977.1|2023-04-22	51007
USA/VA-CDC-QDX49447150/2023|OQ932583.1|2023-04-23	51093
USA/VA-CDC-QDX49399389/2023|OQ932011.1|2023-04-18	51109
USA/VA-CDC-QDX49399352/2023|OQ932097.1|2023-04-19	51195
USA/VA-VTVAS3-GSC42803/2023|OR067969.1|2023-04-21	51179
USA/VA-CDC-QDX80181277/2023|OR061727.1|2023-05-06	51800
USA/VA-CDC-QDX49276050/2023|OQ894030.1|2023-04-18	51091
USA/VA-CDC-QDX49399475/2023|OQ976082.1|2023-04-22	51019
USA/VA-CDC-LC0968649/2022|OQ167211.1|2022-12-22	51149
USA/VA-CDC-LC0978817/2022|OQ206566.1|2022-12-30	51035
USA/VA-VTVAS3-GSC42760/2023|OQ890855.1|2023-04-08	51730
USA/VA-CDC-LC1031793/2023|OQ733976.1|2023-03-22	51145
USA/VA-VTVAS3-GSC42552/2023|OQ890965.1|2023-03-04	51155
USA/VA-VTVAS3-GSC37305/2022|OP327456.1|2022-07-14	51107
USA/VA-VTVAS3-GSC42798/2023|OR067964.1|2023-04-19	51175
USA/VA-CAV_VAS3N_00018390_01/2023|OQ843768.1|2023-02-16	51590
USA/VA-CDC-LC0945785/2022|OP993622.1|2022-11-28	51187
USA/VA-VTVAS3-GSC36953/2022|OP327204.1|2022-07-07	51670
USA/VA-VTVAS3-GSC40609/2022|OP997369.1|2022-11-11	51045
USA/VA-CDC-LC0614590/2022|ON537921.1|2022-05-04	51740
USA/VA-CDC-LC0968540/2022|OQ167592.1|2022-12-23	51003
USA/VA-CAV_VAS3N_00015668_01/2022|OP601018.1|2022-09-12	51760
USA/VA-CDC-VSX-A065799/2023|OQ871252.1|2023-04-12	51095
USA/VA-VTVAS3-GSC42840/2023|OR068005.1|2023-04-03	51111
USA/VA-CDC-LC0674333/2022|ON728826.1|2022-05-27	51153
USA/VA-CDC-VSX-A078657/2023|OQ593176.1|2023-02-23	51177
USA/VA-CDC-QDX46877535/2023|OQ577723.1|2023-02-15	51199
USA/VA-CAV_VAS3N_00017478_01/2022|OQ383983.1|2022-12-27	51650
USA/VA-CDC-LC0984533/2023|OQ258787.1|2023-01-05	51131
USA/VA-DCLS-15037/2023|OQ859870.1|2023-02-10	51063
USA/VA-CDC-QDX38152150/2022|ON915219.1|2022-06-16	51023
USA/VA-CDC-LC0890009/2022|OP552717.1|2022-09-17	51041
USA/VA-CDC-LC0966305/2022|OQ158070.1|2022-12-17	51001
USA/VA-CAV_VAS3N_00018549_01/2023|OQ843831.1|2023-03-15	51037
USA/VA-CDC-QDX46229365/2023|OQ441400.1|2023-01-29	51033
USA/VA-VTVAS3-GSC42661/2023|OQ890896.1|2023-03-27	51083
USA/VA-VTVAS3-GSC42861/2023|OR068026.1|2023-05-05	51013
USA/VA-VTVAS3-GSC42777/2023|OQ890872.1|2023-04-15	51683
USA/VA-VTVAS3-GSC42778/2023|OQ890873.1|2023-04-15	51137
USA/VA-CDC-LC1037567/2023|OQ867768.1|2023-04-13	51097
USA/VA-CDC-QDX49175539/2023|OQ893676.1|2023-04-16	51670
USA/VA-CDC-LC1037892/2023|OQ913964.1|2023-04-17	51550
USA/VA-VTVAS3-GSC42782/2023|OQ890877.1|2023-04-15	51595
USA/VA-VTVAS3-GSC42790/2023|OR067956.1|2023-04-17	51079
USA/VA-CDC-LC0665357/2022|ON687369.1|2022-05-22	51005
USA/VA-CAV_VAS3N_00018601_01/2023|OQ843807.1|2023-04-01	51057
USA/VA-CAV_VAS3N_00018360_01/2023|OQ843741.1|2023-02-22	51830
USA/VA-CDC-LC0339273/2021|OL327572.1|2021-10-13	51159
USA/VA-VTVAS3-GSC42506/2023|OQ714664.1|2023-03-04	51021
USA/VA-VTVAS3-GSC41629/2023|OQ442465.1|2023-01-10	51165
USA/VA-VTVAS3-GSC41316/2022|OQ331943.1|2022-12-30	51171
USA/VA-CDC-LC1015911/2023|OQ631838.1|2023-02-17	51570
USA/VA-CDC-QDX45961527/2023|OQ400610.1|2023-01-23	51735
USA/VA-VTVAS3-GSC41758/2023|OQ442424.1|2023-01-18	51069
USA/VA-VTVAS3-GSC37934/2022|OP327906.1|2022-07-28	51061
USA/VA-VTVAS3-GSC42616/2023|OQ891026.1|2023-03-06	51059
USA/VA-CDC-LC0955050/2022|OQ081238.1|2022-12-05	51125
USA/VA-CDC-LC1034325/2023|OQ802557.1|2023-03-30	51700
USA/VA-CDC-LC1007068/2023|OQ443913.1|2023-02-04	51139
USA/VA-CAV_VAS3N_00017468_01/2022|OQ383973.1|2022-12-22	51680
USA/VA-CDC-QDX49005205/2023|OQ892985.1|2023-04-11	51650
USA/VA-CAV_VAS3N_00018515_01/2023|OQ843579.1|2023-03-24	51177
USA/VA-CDC-QDX49499818/2023|OQ932655.1|2023-04-24	51735
USA/VA-CAV_VAS3N_00018584_01/2023|OQ843813.1|2023-03-27	51117
USA/VA-CAV_VAS3N_00018579_01/2023|OQ843800.1|2023-03-27	51067
USA/VA-CDC-QDX44021298/2022|OP996805.1|2022-11-26	51003
USA/VA-VTVAS3-GSC42112/2023|OQ544685.1|2023-02-05	51181
USA/VA-CAV_VAS3N_00018569_01/2023|OQ843790.1|2023-03-29	51075
